Date,Date,Value
1989,1989,68.174
1990,1990,101.702
1991,1991,99.66399999999999
1992,1992,114.82000000000001
1993,1993,134.42000000000002
1994,1994,78.32000000000001
1995,1995,100.74199999999999
1996,1996,148.66
1997,1997,127.68000000000002
1998,1998,113.46000000000001
1999,1999,94.42
2000,2000,81.9
2001,2001,128.22
2002,2002,90.7
2003,2003,96.16
2004,2004,89.84
2005,2005,104.75999999999999
2006,2006,97.56
2007,2007,123.16000000000001
2008,2008,229.38400000000001
2009,2009,126.74000000000001
2010,2010,136.66
2011,2011,128.34
2012,2012,109.92
2013,2013,112.23999999999998
2014,2014,135.72
2015,2015,118.38
2016,2016,174.28
2017,2017,148.54000000000002
