Date,Date,Value
1989,1989,65.27799999999999
1990,1990,119.482
1991,1991,90.478
1992,1992,137.78
1993,1993,175.76
1994,1994,82.03999999999999
1995,1995,114.43999999999998
1996,1996,155.21999999999997
1997,1997,163.54000000000002
1998,1998,117.88
1999,1999,138.32
2000,2000,94.62
2001,2001,128.74
2002,2002,97.26
2003,2003,89.61999999999999
2004,2004,87.66
2005,2005,114.9
2006,2006,114.62
2007,2007,126.72
2008,2008,161.4
2009,2009,121.05999999999999
2010,2010,175.22
2011,2011,164.45999999999998
2012,2012,111.7
2013,2013,110.61999999999998
2014,2014,116.84
2015,2015,113.03999999999999
2016,2016,155.12
2017,2017,80.97999999999999
